# 青简领域词库：法律，由 qingjian-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
股市断头	gu shi duan tou	3
股市泡沫论	gu shi pao mo lun	10
股改承诺	gu gai cheng nuo	14
股权典当	gu quan dian dang	5
股权回购请求权	gu quan hui gou qing qiu quan	5
股权执行	gu quan zhi xing	1
股权收购合同	gu quan shou gou he tong	7
股权转让款	gu quan zhuan rang kuan	14
股权转让纠纷	gu quan zhuan rang jiu fen	1
股权过户登记	gu quan guo hu deng ji	10
股票交易印花税	gu piao jiao yi yin hua shui	13
股票升值权	gu piao sheng zhi quan	6
股票发行核准制	gu piao fa xing he zhun zhi	8
股票发行注册制	gu piao fa xing zhu ce zhi	2
股票回购	gu piao hui gou	1
股票指数期货期权	gu piao zhi shu qi huo qi quan	4
育婴假	yu ying jia	8
胁从犯	xie cong fan	11
胁迫行为	xie po xing wei	5
背书不连续	bei shu bu lian xu	8
背书转让	bei shu zhuan rang	13
胡惟庸案	hu wei yong an	3
胡文坚	hu wen jian	5
能源供应合同	neng yuan gong ying he tong	5
能源委员会	neng yuan wei yuan hui	20
能源宪章条约	neng yuan xian zhang tiao yue	7
能源效率标识管理办法	neng yuan xiao lv biao zhi guan li ban fa	9
能源标准化管理办法	neng yuan biao zhun hua guan li ban fa	2
能源管理法	neng yuan guan li fa	1
脑死亡与器官移植	nao si wang yu qi guan yi zhi	4
脱媒现象	tuo mei xian xiang	9
脱户漏口	tuo hu lou kou	3
自为行为	zi wei xing wei	3
自保权	zi bao quan	6
自动出口限制	zi dong chu kou xian zhi	7
自动弃权行为	zi dong qi quan xing wei	4
自动投案	zi dong tou an	3
自发性负债	zi fa xing fu zhai	6
自发辩证法	zi fa bian zheng fa	6
自告	zi gao	3
自己代理	zi ji dai li	12
自己代理行为	zi ji dai li xing wei	5
自愿保险	zi yuan bao xian	10
自愿保险合同	zi yuan bao xian he tong	3
自愿出口配额	zi yuan chu kou pei e	3
自愿协议	zi yuan xie yi	1
自愿行为	zi yuan xing wei	4
自愿辞职	zi yuan ci zhi	10
自我检讨	zi wo jian tao	6
自执行条约	zi zhi xing tiao yue	5
自拆自建	zi chai zi jian	8
自救行为	zi jiu xing wei	2
自救行为论	zi jiu xing wei lun	2
自治机关	zi zhi ji guan	4
自然资源国家所有权	zi ran zi yuan guo jia suo you quan	4
自然资源法学	zi ran zi yuan fa xue	4
自然遗产保护法研究	zi ran yi chan bao hu fa yan jiu	2
自由文档许可证	zi you wen dang xu ke zheng	2
自行回避	zi xing hui bi	3
自行拆迁	zi xing chai qian	1
自行组织招标	zi xing zu zhi zhao biao	8
自行辩护	zi xing bian hu	1
自贡市司法局	zi gong shi si fa ju	4
自贡市法律援助中心	zi gong shi fa lv yuan zhu zhong xin	2
自费出版	zi fei chu ban	44
自适应加权式	zi shi ying jia quan shi	3
舆论监督权	yu lun jian du quan	1
舌战羊皮卷	she zhan yang pi juan	3
舞弊侦查技巧与策略	wu bi zhen cha ji qiao yu ce lve	2
航海日程表	hang hai ri cheng biao	2
航班超售	hang ban chao shou	1
航空安全管理	hang kong an quan guan li	1
航空旅客权益保护	hang kong lv ke quan yi bao hu	2
航空管理公约	hang kong guan li gong yue	4
航空货物运输合同	hang kong huo wu yun shu he tong	8
航空货运代理	hang kong huo yun dai li	11
航空货运单	hang kong huo yun dan	11
航空黑名单	hang kong hei ming dan	4
舱口围板	cang kou wei ban	6
船东互保协会	chuan dong hu bao xie hui	9
船员劳务合同	chuan yuan lao wu he tong	7
船员服务管理规定	chuan yuan fu wu guan li gui ding	4
船舶优先权催告	chuan bo you xian quan cui gao	9
船舶保险单	chuan bo bao xian dan	6
船舶吨位	chuan bo dun wei	5
船舶油污应急计划	chuan bo you wu ying ji ji hua	4
船舶登记证书	chuan bo deng ji zheng shu	9
船舶经营管理	chuan bo jing ying guan li	6
船舶维修费	chuan bo wei xiu fei	4
船舶营运费用	chuan bo ying yun fei yong	4
良好操作规范	liang hao cao zuo gui fan	9
艰难与希望	jian nan yu xi wang	4
艺术法概要	yi shu fa gai yao	2
艾滋病离我们有多远	ai zi bing li wo men you duo yuan	9
艾滋病防治条例	ai zi bing fang zhi tiao li	1
节约用水制度	jie yue yong shui zhi du	5
节约能源法	jie yue neng yuan fa	14
节约能源管理暂行条例	jie yue neng yuan guan li zan xing tiao li	6
芝加哥公约	zhi jia ge gong yue	3
芦映	lu ying	5
芦汉铁路借款合同	lu han tie lu jie kuan he tong	4
苏州市公墓管理办法	su zhou shi gong mu guan li ban fa	5
苏州市古村落保护办法	su zhou shi gu cun luo bao hu ban fa	5
苏悉地法	su xi di fa	3
苏泊尔并购案	su po er bing gou an	10
苏芬友好合作互助条约	su fen you hao he zuo hu zhu tiao yue	2
苏锦梁	su jin liang	16
苗疆事宜	miao jiang shi yi	3
英吉利法研究	ying ji li fa yan jiu	3
英国侵权法	ying guo qin quan fa	5
英国信托法	ying guo xin tuo fa	6
英国信托法原理与判例	ying guo xin tuo fa yuan li yu pan li	3
英国刑事诉讼程序	ying guo xing shi su song cheng xu	5
英国商标注册	ying guo shang biao zhu ce	6
英国大宪章	ying guo da xian zhang	1
英国普通法制度之旅	ying guo pu tong fa zhi du zhi lv	3
英国最高法院	ying guo zui gao fa yuan	47
英国枢密院	ying guo shu mi yuan	49
英国法律发达史	ying guo fa lv fa da shi	1
英国法院系统	ying guo fa yuan xi tong	3
英国海上保险条款详论	ying guo hai shang bao xian tiao kuan xiang lun	3
英国违宪审查	ying guo wei xian shen cha	5
英国陆军法	ying guo lu jun fa	3
英文合同	ying wen he tong	10
英法协约	ying fa xie yue	2
英美司法制度	ying mei si fa zhi du	5
英美商事法	ying mei shang shi fa	2
英美法系	ying mei fa xi	41
英荷条约	ying he tiao yue	9
英语现场导游辞	ying yu xian chang dao you ci	3
范长江新闻奖	fan chang jiang xin wen jiang	2
茧丝质量监督管理办法	jian si zhi liang jian du guan li ban fa	5
草原监理人员行为准则	cao yuan jian li ren yuan xing wei zhun ze	2
药事法	yao shi fa	12
药事法学	yao shi fa xue	3
药事管理与法规	yao shi guan li yu fa gui	11
药事管理学	yao shi guan li xue	10
药品上市许可人制度	yao pin shang shi xu ke ren zhi du	3
药品与医疗器械	yao pin yu yi liao qi xie	7
药品临床试验管理规范	yao pin lin chuang shi yan guan li gui fan	8
药品使用单位	yao pin shi yong dan wei	9
药品加工出口管理规定	yao pin jia gong chu kou guan li gui ding	2
药品加成率	yao pin jia cheng lv	8
药品召回管理办法	yao pin zhao hui guan li ban fa	10
药品差比价规则	yao pin cha bi jia gui ze	10
药品广告审查办法	yao pin guang gao shen cha ban fa	11
药品广告审查发布标准	yao pin guang gao shen cha fa bu biao zhun	10
药品流通监督管理办法	yao pin liu tong jian du guan li ban fa	10
药品管制	yao pin guan zhi	9
药品管理法	yao pin guan li fa	23
药品管理法实施条例	yao pin guan li fa shi shi tiao li	11
药品经营质量管理规范	yao pin jing ying zhi liang guan li gui fan	12
药品行政保护	yao pin xing zheng bao hu	1
药政管理条例	yao zheng guan li tiao li	5
药检站	yao jian zhan	4
药物分析实验方法学	yao wu fen xi shi yan fang fa xue	2
莫小莎	mo xiao sha	2
莫急于盗贼	mo ji yu dao zei	7
莫桑比克共和国议会	mo sang bi ke gong he guo yi hui	5
莫虎	mo hu	1
莱茵河航行公约	lai yin he hang xing gong yue	3
获得报酬权	huo de bao chou quan	11
菲迪克	fei di ke	1
营业员上岗证	ying ye yuan shang gang zheng	9
营业性演出管理条例	ying ye xing yan chu guan li tiao li	11
营业权论	ying ye quan lun	2
营业犯	ying ye fan	3
营业秘密	ying ye mi mi	8
营业税暂行条例	ying ye shui zan xing tiao li	3
营业税条例	ying ye shui tiao li	1
营养工作规范	ying yang gong zuo gui fan	2
营利性治沙管理办法	ying li xing zhi sha guan li ban fa	4
营利性法人	ying li xing fa ren	2
营利法人	ying li fa ren	9
营利犯	ying li fan	4
营利目的	ying li mu di	11
萧何定律	xiao he ding lv	6
著作权与邻接权	zhu zuo quan yu lin jie quan	6
著作权交易市场	zhu zuo quan jiao yi shi chang	3
著作权使用费	zhu zuo quan shi yong fei	10
著作权侵权	zhu zuo quan qin quan	18
著作权侵权行为	zhu zuo quan qin quan xing wei	1
著作权国际公约	zhu zuo quan guo ji gong yue	5
著作权强制许可	zhu zuo quan qiang zhi xu ke	2
著作权法实施条例	zhu zuo quan fa shi shi tiao li	11
著作权许可使用合同	zhu zuo quan xu ke shi yong he tong	9
著作权转让合同	zhu zuo quan zhuan rang he tong	9
葡萄酒分级制度	pu tao jiu fen ji zhi du	1
董事会会议制度	dong shi hui hui yi zhi du	7
董事会召开程序	dong shi hui zhao kai cheng xu	6
董事会授权	dong shi hui shou quan	1
董事会权限	dong shi hui quan xian	10
董事解任	dong shi jie ren	3
葫芦牌	hu lu pai	6
蒋有才	jiang you cai	5
蒙古国刑法典	meng gu guo xing fa dian	4
蓬溪县农业局	peng xi xian nong ye ju	4
蔺存宝	lin cun bao	6
薪酬等级制度	xin chou deng ji zhi du	5
藐视法庭罪	miao shi fa ting zui	30
蘑菇定律	mo gu ding lv	10
虐待动物罪	nve dai dong wu zui	2
虐待罪	nve dai zui	4
虚伪意思表示	xu wei yi si biao shi	6
虚假存单	xu jia cun dan	7
虚假广告	xu jia guang gao	20
虚假广告罪	xu jia guang gao zui	1
虚假广告行为	xu jia guang gao xing wei	9
虚功实做	xu gong shi zuo	9
虚开增值税专用发票罪	xu kai zeng zhi shui zhuan yong fa piao zui	11
虚开增值税发票	xu kai zeng zhi shui fa piao	12
虚开增值税发票罪	xu kai zeng zhi shui fa piao zui	8
虚报注册资本罪	xu bao zhu ce zi ben zui	1
虚构事实	xu gou shi shi	6
虚构事实诈骗他人钱财	xu gou shi shi zha pian ta ren qian cai	2
蚕种管理办法	can zhong guan li ban fa	7
融资融券合同必备条款	rong zi rong quan he tong bi bei tiao kuan	8
血吸虫病防治条例	xue xi chong bing fang zhi tiao li	1
血族复仇	xue zu fu chou	8
血液制品管理条例	xue ye zhi pin guan li tiao li	9
血站管理办法	xue zhan guan li ban fa	9
血站管理暂行办法	xue zhan guan li zan xing ban fa	2
血缘婚	xue yuan hun	1
血铅临床检验技术规范	xue qian lin chuang jian yan ji shu gui fan	4
行为判定	xing wei pan ding	9
行为地法	xing wei di fa	11
行为性质错误	xing wei xing zhi cuo wu	3
行为手段	xing wei shou duan	1
行为法学派	xing wei fa xue pai	2
行为犯	xing wei fan	2
行为犯研究	xing wei fan yan jiu	3
行为目标法	xing wei mu biao fa	3
行为规范	xing wei gui fan	25
行为记录法	xing wei ji lu fa	5
行为障碍	xing wei zhang ai	34
行为默示形式	xing wei mo shi xing shi	3
行刑社会化	xing xing she hui hua	8
行政争议法律援助	xing zheng zheng yi fa lv yuan zhu	4
行政事业单位资产核实	xing zheng shi ye dan wei zi chan he shi	6
行政事业收费许可证	xing zheng shi ye shou fei xu ke zheng	5
行政体制改革研究	xing zheng ti zhi gai ge yan jiu	5
行政划拨用地	xing zheng hua bo yong di	9
行政单位会计制度	xing zheng dan wei kuai ji zhi du	9
行政单位财务管理	xing zheng dan wei cai wu guan li	5
行政即时强制	xing zheng ji shi qiang zhi	6
行政复议法	xing zheng fu yi fa	2
行政复议法学	xing zheng fu yi fa xue	5
行政复议法实务指导	xing zheng fu yi fa shi wu zhi dao	2
行政复议范围	xing zheng fu yi fan wei	9
行政应急性原则	xing zheng ying ji xing yuan ze	7
行政强制执行	xing zheng qiang zhi zhi xing	1
行政强制措施	xing zheng qiang zhi cuo shi	14
行政强制法	xing zheng qiang zhi fa	1
行政强制法草案	xing zheng qiang zhi fa cao an	10
行政强制程序	xing zheng qiang zhi cheng xu	6
行政执法类职位	xing zheng zhi fa lei zhi wei	10
行政执行法	xing zheng zhi xing fa	15
行政没收	xing zheng mo shou	6
行政法学方法论之变迁	xing zheng fa xue fang fa lun zhi bian qian	3
行政法律关系研究	xing zheng fa lv guan xi yan jiu	3
行政法律适用新解析	xing zheng fa lv shi yong xin jie xi	3
行政法规制定程序条例	xing zheng fa gui zhi ding cheng xu tiao li	9
行政法规及规则	xing zheng fa gui ji gui ze	2
行政相对方	xing zheng xiang dui fang	10
行政终局裁决行为	xing zheng zhong ju cai jue xing wei	5
行政行为主体合法	xing zheng xing wei zhu ti he fa	4
行政行为基本范畴研究	xing zheng xing wei ji ben fan chou yan jiu	3
行政规范性文件	xing zheng gui fan xing wen jian	12
行政许可法实用解答	xing zheng xu ke fa shi yong jie da	3
行政许可法注评	xing zheng xu ke fa zhu ping	2
行政诉讼参加人	xing zheng su song can jia ren	7
行政诉讼受案范围	xing zheng su song shou an fan wei	11
行政诉讼收费制度	xing zheng su song shou fei zhi du	3
行政诉讼案件	xing zheng su song an jian	2
行政诉讼裁定	xing zheng su song cai ding	7
行政附带民事调解书	xing zheng fu dai min shi tiao jie shu	2
行文规则	xing wen gui ze	1
行纪	xing ji	7
行纪人	xing ji ren	13
行纪合同	xing ji he tong	10
行纪行为	xing ji xing wei	7
行贿罪	xing hui zui	47
行贿黑名单	xing hui hei ming dan	10
补偿性财政政策	bu chang xing cai zheng zheng ce	4
补偿贸易	bu chang mao yi	3
补充保障	bu chong bao zhang	2
补缺性条款	bu que xing tiao kuan	2
表决权回避制度	biao jue quan hui bi zhi du	5
表决权限制制度	biao jue quan xian zhi zhi du	3
表外科目	biao wai ke mu	10
表现代理	biao xian dai li	7
表现犯	biao xian fan	7
表示行为	biao shi xing wei	10
袁毓明	yuan yu ming	9
袖珍英汉法律词典	xiu zhen ying han fa lv ci dian	2
被公安机关抓获归案后	bei gong an ji guan zhua huo gui an hou	5
被告住所地	bei gao zhu suo di	13
被害人承诺	bei hai ren cheng nuo	7
被庐之法	bei lu zhi fa	5
被拆迁人	bei chai qian ren	16
被申请执行人	bei shen qing zhi xing ren	10
被裁定为	bei cai ding wei	13
袭击罪	xi ji zui	27
裁判员技术等级制度	cai pan yuan ji shu deng ji zhi du	6
裁定书	cai ding shu	19
裁定权	cai ding quan	1
裁定驳回	cai ding bo hui	36
装卸货时间	zhuang xie huo shi jian	1
装卸费用	zhuang xie fei yong	10
装运前检验协议	zhuang yun qian jian yan xie yi	5
西安城墙保护条例	xi an cheng qiang bao hu tiao li	4
西安市土地储备条例	xi an shi tu di chu bei tiao li	3
西方法学名著提要	xi fang fa xue ming zhu ti yao	5
西方法学家列传	xi fang fa xue jia lie zhuan	1
西方法治主义的源与流	xi fang fa zhi zhu yi de yuan yu liu	3
西方马克思主义法学	xi fang ma ke si zhu yi fa xue	6
西藏自治区信访条例	xi zang zi zhi qu xin fang tiao li	4
西藏自治区公路条例	xi zang zi zhi qu gong lu tiao li	3
西藏节日文化	xi zang jie ri wen hua	5
西非经济与货币联盟	xi fei jing ji yu huo bi lian meng	3
要式民事法律行为	yao shi min shi fa lv xing wei	6
要式法律行为	yao shi fa lv xing wei	9
要式行为	yao shi xing wei	1
要式证券	yao shi zheng quan	8
要求轻判	yao qiu qing pan	7
要约失效	yao yue shi xiao	9
要约撤回	yao yue che hui	7
要约收购	yao yue shou gou	6
要约效力	yao yue xiao li	6
要约文件	yao yue wen jian	8
见习期制度	jian xi qi zhi du	7
规划审批权	gui hua shen pi quan	8
规划建设法规	gui hua jian she fa gui	4
规划环境影响评价条例	gui hua huan jing ying xiang ping jia tiao li	8
规划许可证	gui hua xu ke zheng	6
规定性通知	gui ding xing tong zhi	2
规定行政措施	gui ding xing zheng cuo shi	9
规模效益	gui mo xiao yi	2
规模经济学	gui mo jing ji xue	5
规模经济政策	gui mo jing ji zheng ce	3
规矩方圆	gui ju fang yuan	9
规章制定程序条例	gui zhang zhi ding cheng xu tiao li	9
规范与价值	gui fan yu jia zhi	7
规范与法律	gui fan yu fa lv	9
规范性	gui fan xing	49
规范性文件	gui fan xing wen jian	19
规范性解释	gui fan xing jie shi	8
规范权力	gui fan quan li	1
规范法学	gui fan fa xue	8
规范行为	gui fan xing wei	3
视频合同	shi pin he tong	3
解放军总直属队	jie fang jun zong zhi shu dui	3
解约日	jie yue ri	7
解读私募股权基金	jie du si mu gu quan ji jin	5
解除与终止劳动合同	jie chu yu zhong zhi lao dong he tong	4
言词原则	yan ci yuan ze	9
警察圈套	jing cha quan tao	8
警察职务犯罪研究	jing cha zhi wu fan zui yan jiu	3
警械	jing xie	5
计算机网络犯罪	ji suan ji wang luo fan zui	8
计算机软件应用技术	ji suan ji ruan jian ying yong ji shu	6
计算机软件著作权保护	ji suan ji ruan jian zhu zuo quan bao hu	7
计量比对管理办法	ji liang bi dui guan li ban fa	4
计量认证标志	ji liang ren zheng biao zhi	7
计量违法行为处罚细则	ji liang wei fa xing wei chu fa xi ze	4
认定公民无民事行为	ren ding gong min wu min shi xing wei	9
认真对待人权	ren zhen dui dai ren quan	3
认证标志	ren zheng biao zhi	2
让予担保	rang yu dan bao	4
让法律做主	rang fa lv zuo zhu	3
让路船	rang lu chuan	6
训政时期约法	xun zheng shi qi yue fa	9
议付	yi fu	14
议付行	yi fu hang	12
讯问笔录	xun wen bi lu	4
记名有价证券	ji ming you jia zheng quan	8
许可经营范围	xu ke jing ying fan wei	7
许可证制度	xu ke zheng zhi du	5
许可证协议	xu ke zheng xie yi	11
许可证贸易协议	xu ke zheng mao yi xie yi	3
许小平律师事务所	xu xiao ping lv shi shi wu suo	8
许诺人	xu nuo ren	7
许诺销售	xu nuo xiao shou	2
许诺销售权	xu nuo xiao shou quan	5
讹诈行为	e zha xing wei	6
论不动产登记	lun bu dong chan deng ji	3
论争中的渔业权	lun zheng zhong de yu ye quan	3
论公正	lun gong zheng	9
