# 青简领域词库：地名，由 qingjian-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
索雄乡	suo xiong xiang	2
紧倒	jin dao	8
紫云小区	zi yun xiao qu	4
紫云山	zi yun shan	9
紫云村	zi yun cun	5
紫云社区	zi yun she qu	4
紫云花园	zi yun hua yuan	6
紫光园	zi guang yuan	4
紫光国际交流中心	zi guang guo ji jiao liu zhong xin	4
紫光路	zi guang lu	3
紫南家园	zi nan jia yuan	6
紫南家园北站	zi nan jia yuan bei zhan	2
紫南家园社区	zi nan jia yuan she qu	3
紫南市场	zi nan shi chang	3
紫各庄村	zi ge zhuang cun	4
紫坊畔乡	zi fang pan xiang	3
紫山	zi shan	7
紫山村	zi shan cun	3
紫帽	zi mao	11
紫微星	zi wei xing	7
紫微路	zi wei lu	3
紫星	zi xing	5
紫松	zi song	4
紫林庵	zi lin an	7
紫江路	zi jiang lu	2
紫沙路	zi sha lu	2
紫泉	zi quan	2
紫湖	zi hu	2
紫湖村	zi hu cun	3
紫琅	zi lang	1
紫竹北街	zi zhu bei jie	5
紫竹园	zi zhu yuan	3
紫竹园公园	zi zhu yuan gong yuan	3
紫竹桥	zi zhu qiao	11
紫竹桥北	zi zhu qiao bei	3
紫竹桥南	zi zhu qiao nan	4
紫竹苑	zi zhu yuan	2
紫竹院	zi zhu yuan	25
紫竹院公园	zi zhu yuan gong yuan	3
紫竹院南门	zi zhu yuan nan men	5
紫竹院社区	zi zhu yuan she qu	3
紫罗	zi luo	3
紫美村	zi mei cun	3
紫花路	zi hua lu	5
紫芳园社区	zi fang yuan she qu	4
紫芳路	zi fang lu	4
紫苑小区	zi yuan xiao qu	6
紫荆北路	zi jing bei lu	2
紫荆南路	zi jing nan lu	4
紫荆园	zi jing yuan	8
紫荆树	zi jing shu	5
紫荆花路南口	zi jing hua lu nan kou	4
紫荆苑	zi jing yuan	3
紫荆街	zi jing jie	4
紫荆西路	zi jing xi lu	1
紫荆西路创业路口	zi jing xi lu chuang ye lu kou	3
紫荆路	zi jing lu	7
紫菘枫林上城	zi song feng lin shang cheng	3
紫薇东路	zi wei dong lu	1
紫薇二村	zi wei er cun	2
紫薇园	zi wei yuan	7
紫薇城市花园	zi wei cheng shi hua yuan	1
紫薇田园都市	zi wei tian yuan du shi	8
紫薇花园	zi wei hua yuan	1
紫薇苑	zi wei yuan	5
紫薇阁	zi wei ge	5
紫藤花园	zi teng hua yuan	4
紫金南苑	zi jin nan yuan	6
紫金山大酒店	zi jin shan da jiu dian	5
紫金山路	zi jin shan lu	1
紫金路	zi jin lu	1
紫鑫中华广场	zi xin zhong hua guang chang	6
紫鑫城	zi xin cheng	4
紫阳立交桥	zi yang li jiao qiao	4
紫阳花苑	zi yang hua yuan	1
紫阳街	zi yang jie	3
紫霞湖	zi xia hu	2
紫鹃新村	zi juan xin cun	3
綦村镇	qi cun zhen	4
綦江县	qi jiang xian	36
綦江县人民政府	qi jiang xian ren min zheng fu	1
繁华大道	fan hua da dao	17
繁华里	fan hua li	1
红下	hong xia	6
红专	hong zhuan	48
红专南路	hong zhuan nan lu	8
红专路小区	hong zhuan lu xiao qu	3
红东	hong dong	6
红丝乡	hong si xiang	2
红中村	hong zhong cun	4
红丰家园	hong feng jia yuan	3
红丰新村	hong feng xin cun	2
红丰村	hong feng cun	1
红丰路	hong feng lu	2
红井	hong jing	3
红井胡同	hong jing hu tong	2
红亮垦殖场	hong liang ken zhi chang	2
红会医院	hong hui yi yuan	7
红光广场	hong guang guang chang	5
红光港机	hong guang gang ji	2
红光胡同	hong guang hu tong	3
红光路	hong guang lu	2
红光路口	hong guang lu kou	3
红光里	hong guang li	5
红兴隆分局	hong xing long fen ju	4
红其拉甫	hong qi la fu	10
红军街道	hong jun jie dao	2
红冠	hong guan	7
红勤	hong qin	3
红卫化工厂	hong wei hua gong chang	2
红卫桥	hong wei qiao	7
红卫煤矿	hong wei mei kuang	5
红印村	hong yin cun	2
红原	hong yuan	43
红古	hong gu	24
红台乡	hong tai xiang	1
红叶大酒店	hong ye da jiu dian	4
红叶路	hong ye lu	6
红合路口	hong he lu kou	2
红四乡	hong si xiang	4
红土坡	hong tu po	5
红土山	hong tu shan	1
红土店社区	hong tu dian she qu	3
红土梁镇	hong tu liang zhen	1
红土湾村	hong tu wan cun	3
红坎	hong kan	1
红垦农场	hong ken nong chang	3
红堡	hong bao	38
红塔寺	hong ta si	3
红塔村	hong ta cun	4
红墙巷	hong qiang xiang	4
红墩界镇	hong dun jie zhen	5
红安	hong an	48
红宝苗族彝族乡	hong bao miao zu yi zu xiang	2
红宫	hong gong	33
红寺	hong si	46
红寺堡开发区	hong si bao kai fa qu	5
红居社区	hong ju she qu	2
红山东路	hong shan dong lu	7
红山公园	hong shan gong yuan	1
红山农场	hong shan nong chang	2
红山半岛	hong shan ban dao	2
红山口	hong shan kou	15
红山嘴子	hong shan zui zi	1
红山坡	hong shan po	2
红山市场	hong shan shi chang	1
红山村	hong shan cun	4
红山林场	hong shan lin chang	2
红山游泳馆	hong shan you yong guan	5
红山站	hong shan zhan	12
红山脚下	hong shan jiao xia	6
红山街	hong shan jie	6
红山西路	hong shan xi lu	6
红山路南	hong shan lu nan	3
红山邮局	hong shan you ju	4
红岗	hong gang	8
红岗花园	hong gang hua yuan	4
红岗街道	hong gang jie dao	2
红岗路	hong gang lu	1
红岩村	hong yan cun	21
红岩胡同	hong yan hu tong	3
红岭	hong ling	29
红岭中学	hong ling zhong xue	1
红岭中路	hong ling zhong lu	3
红岭大厦	hong ling da sha	5
红岭小学	hong ling xiao xue	6
红岭村委会	hong ling cun wei hui	2
红岭林场	hong ling lin chang	3
红庄村	hong zhuang cun	1
红庆河镇	hong qing he zhen	4
红庙北里社区	hong miao bei li she qu	5
红庙坡	hong miao po	7
红庙子	hong miao zi	9
红庙子街道	hong miao zi jie dao	1
红庙山	hong miao shan	3
红庙村村委会	hong miao cun cun wei hui	3
红庙街	hong miao jie	5
红彦镇	hong yan zhen	1
红扎乡	hong zha xiang	1
红旗东路	hong qi dong lu	1
红旗中路	hong qi zhong lu	4
红旗北路	hong qi bei lu	1
红旗医院	hong qi yi yuan	2
红旗南路	hong qi nan lu	6
红旗厂	hong qi chang	5
红旗商店	hong qi shang dian	4
红旗坡	hong qi po	7
红旗大道	hong qi da dao	1
红旗大队	hong qi da dui	1
红旗客运站	hong qi ke yun zhan	3
红旗宾馆	hong qi bin guan	3
红旗小学	hong qi xiao xue	3
红旗居委会	hong qi ju wei hui	4
红旗市场	hong qi shi chang	1
红旗机械厂	hong qi ji xie chang	5
红旗村	hong qi cun	20
红旗桥	hong qi qiao	3
红旗楼	hong qi lou	4
红旗水库	hong qi shui ku	20
红旗河沟	hong qi he gou	24
红旗电影院	hong qi dian ying yuan	2
红旗电缆	hong qi dian lan	5
红旗砖厂	hong qi zhuan chang	2
红旗糖厂	hong qi tang chang	3
红旗营乡	hong qi ying xiang	3
红旗西站	hong qi xi zhan	4
红旗路	hong qi lu	21
红旗路电脑城	hong qi lu dian nao cheng	5
红旗车站	hong qi che zhan	3
红日路	hong ri lu	3
红星北路	hong xing bei lu	5
红星医院	hong xing yi yuan	7
红星场	hong xing chang	4
红星大市场	hong xing da shi chang	1
红星学校	hong xing xue xiao	6
红星居委会	hong xing ju wei hui	1
红星桥	hong xing qiao	13
红星牧场	hong xing mu chang	1
红星站	hong xing zhan	5
红星胡同	hong xing hu tong	4
红星路	hong xing lu	36
红星路一段	hong xing lu yi duan	2
红星路二段	hong xing lu er duan	1
红星路口	hong xing lu kou	7
红星路广场	hong xing lu guang chang	7
红星路广场北	hong xing lu guang chang bei	4
红星路广场南	hong xing lu guang chang nan	4
红星路旁	hong xing lu pang	3
红春	hong chun	3
红木工艺厂	hong mu gong yi chang	4
红松路	hong song lu	12
红果乡	hong guo xiang	1
红果寺	hong guo si	2
红果彝族乡	hong guo yi zu xiang	1
红枫苑	hong feng yuan	3
红柳泉	hong liu quan	4
红柳路	hong liu lu	4
红树林花园	hong shu lin hua yuan	2
红桂路	hong gui lu	1
红桥北大街	hong qiao bei da jie	3
红桥垦殖场	hong qiao ken zhi chang	3
红桥头	hong qiao tou	2
红桥街道	hong qiao jie dao	4
红梅假日花苑	hong mei jia ri hua yuan	2
红梅小区	hong mei xiao qu	2
红梅小学	hong mei xiao xue	3
红梅新村	hong mei xin cun	5
红梅社区	hong mei she qu	6
红梅路	hong mei lu	4
红森公寓	hong sen gong yu	3
红椿土家族乡	hong chun tu jia zu xiang	4
红欣园林	hong xin yuan lin	3
红民村	hong min cun	2
红民村社区	hong min cun she qu	2
红水河镇	hong shui he zhen	2
红池坝经济开发区	hong chi ba jing ji kai fa qu	2
红沙坡	hong sha po	4
红沙沟	hong sha gou	3
红河大道	hong he da dao	6
红泉镇	hong quan zhen	3
红泥沟	hong ni gou	1
红海东路	hong hai dong lu	2
红海湾经济开发区	hong hai wan jing ji kai fa qu	5
红海西路	hong hai xi lu	4
红涂	hong tu	2
红湖	hong hu	10
红湖街	hong hu jie	4
红烧大雁	hong shao da yan	3
红煤厂	hong mei chang	1
红照壁	hong zhao bi	10
红照壁街	hong zhao bi jie	1
红牌楼	hong pai lou	49
红牌楼街道	hong pai lou jie dao	7
红瓦寺	hong wa si	17
红瓦房	hong wa fang	1
红生	hong sheng	7
红甸回族乡	hong dian hui zu xiang	1
红眼川乡	hong yan chuan xiang	4
红石山	hong shi shan	1
红石岭	hong shi ling	3
红石崖乡	hong shi ya xiang	2
红石村	hong shi cun	4
红石板	hong shi ban	1
红石板新村	hong shi ban xin cun	4
红石桥	hong shi qiao	4
红石湾	hong shi wan	4
红砖场	hong zhuan chang	4
红砖桥	hong zhuan qiao	2
红缨路	hong ying lu	1
红罗村	hong luo cun	14
红羊乡	hong yang xiang	4
红耀	hong yao	5
红耀乡	hong yao xiang	6
红联	hong lian	26
红联东村社区	hong lian dong cun she qu	2
红花东路	hong hua dong lu	3
红花南路	hong hua nan lu	4
红花园	hong hua yuan	2
红花地	hong hua di	2
红花坡	hong hua po	6
红花坪	hong hua ping	4
红花堰	hong hua yan	4
红花尔基镇	hong hua er ji zhen	4
红花山	hong hua shan	8
红花岗	hong hua gang	13
红草	hong cao	1
红荔路	hong li lu	9
红莫依达乡	hong mo yi da xiang	2
红莫镇	hong mo zhen	4
红莲中里	hong lian zhong li	4
红莲南路	hong lian nan lu	12
红莲南里	hong lian nan li	2
红菱新村	hong ling xin cun	6
红螺寺	hong luo si	34
红角洲管理处	hong jiao zhou guan li chu	4
红豆林	hong dou lin	4
红豆树	hong dou shu	27
红路头	hong lu tou	2
红辣子	hong la zi	4
红进塔	hong jin ta	3
红道乡	hong dao xiang	4
红里山村	hong li shan cun	2
红钢城街道	hong gang cheng jie dao	4
红门河乡	hong men he xiang	2
红阳	hong yang	16
红阳村	hong yang cun	1
红阳水库	hong yang shui ku	2
红阳街道	hong yang jie dao	5
红陵旭日	hong ling xu ri	5
红雁池	hong yan chi	6
红雁街道	hong yan jie dao	4
红顶	hong ding	35
红领巾公园	hong ling jin gong yuan	3
红领巾桥北	hong ling jin qiao bei	3
红领巾桥南	hong ling jin qiao nan	5
红首	hong shou	4
红骥牧场	hong ji mu chang	2
红龙乡	hong long xiang	2
红龙庙	hong long miao	4
约巴乡	yue ba xiang	1
约改滩	yue gai tan	2
约改镇	yue gai zhen	4
纪台	ji tai	1
纪家	ji jia	20
纪家庙	ji jia miao	7
纪庄	ji zhuang	4
纪庄子	ji zhuang zi	5
纪念街	ji nian jie	3
纪念路	ji nian lu	7
纪念馆路	ji nian guan lu	2
纪昌庄乡	ji chang zhuang xiang	2
纪王镇	ji wang zhen	4
纪畔乡	ji pan xiang	4
纪窑村	ji yao cun	2
纪蕴路	ji yun lu	1
纬一路	wei yi lu	6
纬七路	wei qi lu	4
纬三路	wei san lu	22
纬二十九街	wei er shi jiu jie	1
纬二街	wei er jie	8
纬二路	wei er lu	37
纬五路	wei wu lu	25
纬什街	wei shen jie	7
纬四街道	wei si jie dao	3
纯复乡	chun fu xiang	2
纯正路	chun zheng lu	2
纯水岸	chun shui an	8
纯阳观街	chun yang guan jie	4
纱厂路	sha chang lu	2
纱场	sha chang	4
纱帽北街	sha mao bei jie	4
纱帽村	sha mao cun	4
纱帽街	sha mao jie	7
纲手	gang shou	48
纳久乡	na jiu xiang	2
纳塔乡	na ta xiang	2
纳太	na tai	3
纳尔巴格街道	na er ba ge jie dao	2
纳新桥	na xin qiao	1
纳木错乡	na mu cuo xiang	3
纳林希里镇	na lin xi li zhen	2
纳林镇	na lin zhen	2
纳浪乡	na lang xiang	3
纳溪	na xi	38
纳溪县	na xi xian	6
纳直乡	na zhi xiang	1
纳福胡同	na fu hu tong	4
纳翁乡	na weng xiang	3
纳雍	na yong	21
纳雍乡	na yong xiang	3
纸坊	zhi fang	35
纸坊村	zhi fang cun	1
纸寮	zhi liao	8
纸房镇	zhi fang zhen	3
纸槽村	zhi cao cun	2
纸筋厂	zhi jin chang	2
纸箱厂	zhi xiang chang	3
纺五路	fang wu lu	5
纺北路	fang bei lu	7
纺建路	fang jian lu	6
纺机厂	fang ji chang	2
纺机市场	fang ji shi chang	3
纺校	fang xiao	3
纺科路	fang ke lu	5
纺纱厂	fang sha chang	28
纺织城枣园刘村	fang zhi cheng zao yuan liu cun	4
纺织城火车站	fang zhi cheng huo che zhan	1
纺织城街道	fang zhi cheng jie dao	1
纺织城鹿塬街	fang zhi cheng lu yuan jie	4
纺织基地	fang zhi ji di	1
纺织学校	fang zhi xue xiao	3
纺织学院	fang zhi xue yuan	7
纺织服装学院	fang zhi fu zhuang xue yuan	1
纺织站	fang zhi zhan	4
纺织路	fang zhi lu	2
纺织路街道	fang zhi lu jie dao	4
纽家巷	niu jia xiang	3
线务局	xian wu ju	3
线坑	xian keng	25
线材厂	xian cai chang	1
线路名	xian lu ming	33
线路新村	xian lu xin cun	6
绀村	gan cun	4
组织部招待所	zu zhi bu zhao dai suo	2
绅园	shen yuan	3
细沙	xi sha	46
细沙乡	xi sha xiang	3
细河	xi he	14
细滘	xi jiao	1
细滘居委会	xi jiao ju wei hui	4
细瓦厂	xi wa chang	3
细瓦厂南门	xi wa chang nan men	2
细管胡同	xi guan hu tong	6
细米巷	xi mi xiang	2
织女泉	zhi nv quan	2
织机坊	zhi ji fang	3
织机街	zhi ji jie	4
绍兴一中	shao xing yi zhong	7
绍兴中	shao xing zhong	4
绍兴中专	shao xing zhong zhuan	3
绍兴二	shao xing er	41
绍兴剧院	shao xing ju yuan	2
绍兴图书馆	shao xing tu shu guan	1
绍兴日报社	shao xing ri bao she	4
绍兴路	shao xing lu	24
绍兴路北口	shao xing lu bei kou	3
绍兴路口	shao xing lu kou	5
绍兴道	shao xing dao	1
绍家坡	shao jia po	4
经一路	jing yi lu	10
经七路	jing qi lu	11
经九路	jing jiu lu	9
经九路南段	jing jiu lu nan duan	4
经二路	jing er lu	15
经兜村	jing dou cun	2
经六街	jing liu jie	3
经华南路	jing hua nan lu	6
经华路	jing hua lu	3
经口	jing kou	7
经岭村	jing ling cun	3
经建乡	jing jian xiang	5
经开区城南街道	jing kai qu cheng nan jie dao	3
经开区管委会	jing kai qu guan wei hui	9
经武门	jing wu men	4
经泽大厦	jing ze da sha	3
经济大厦	jing ji da sha	8
经济开发区办事处	jing ji kai fa qu ban shi chu	4
经济开发新区	jing ji kai fa xin qu	4
经济开发试验区	jing ji kai fa shi yan qu	4
经济技术开发区开发区	jing ji ji shu kai fa qu kai fa qu	3
经济技术开发区沿湖	jing ji ji shu kai fa qu yan hu	3
经济技术开发区通海路	jing ji ji shu kai fa qu tong hai lu	2
经济港	jing ji gang	2
经管学院	jing guan xue yuan	39
经纬厂	jing wei chang	2
经贸学校	jing mao xue xiao	2
经贸学院	jing mao xue yuan	30
绒庄新村	rong zhuang xin cun	5
绒盖	rong gai	8
绒盖乡	rong gai xiang	2
绒线胡同	rong xian hu tong	6
绒辖乡	rong xia xiang	8
结印	jie yin	21
结多乡	jie duo xiang	4
结斯乡	jie si xiang	3
结核医院	jie he yi yuan	1
结核病医院	jie he bing yi yuan	17
结研所	jie yan suo	1
绕城路口	rao cheng lu kou	4
绕金乡	rao jin xiang	2
统一路	tong yi lu	6
统军庄	tong jun zhuang	2
统建大江园	tong jian da jiang yuan	5
统建楼	tong jian lou	9
统景	tong jing	35
统溪河乡	tong xi he xiang	5
统管办	tong guan ban	9
统部镇	tong bu zhen	1
统里村	tong li cun	3
绣山	xiu shan	4
绣林街道	xiu lin jie dao	4
绥中路	sui zhong lu	4
绥化县	sui hua xian	12
绥化地区	sui hua di qu	2
绥棱	sui leng	37
绥江道	sui jiang dao	3
绥滨	sui bin	23
绥芬河市	sui fen he shi	45
绦儿胡同	tao er hu tong	2
绩溪路	ji xi lu	1
绮陌乡	qi mo xiang	4
绰尔河农场	chuo er he nong chang	2
绳匠胡同	sheng jiang hu tong	2
绳金塔街道	sheng jin ta jie dao	2
维古乡	wei gu xiang	1
维吾尔玉其温乡	wei wu er yu qi wen xiang	6
维城乡	wei cheng xiang	3
维它	wei ta	4
维山乡	wei shan xiang	5
维新村	wei xin cun	4
绵中	mian zhong	35
绵扎	mian zha	4
绵竹县	mian zhu xian	14
绵竹市	mian zhu shi	26
绵羊山	mian yang shan	3
绷起	beng qi	18
综合农场	zong he nong chang	7
综合场	zong he chang	3
综合垦殖场	zong he ken zhi chang	2
综合市场	zong he shi chang	15
综合执法局	zong he zhi fa ju	6
绿东村街道	lv dong cun jie dao	7
绿丰家园	lv feng jia yuan	4
绿化基地	lv hua ji di	8
绿园度假村	lv yuan du jia cun	3
绿园爱舍	lv yuan ai she	3
绿地世纪城	lv di shi ji cheng	19
绿地医院	lv di yi yuan	1
绿城西子	lv cheng xi zi	6
绿塘乡	lv tang xiang	3
绿岛公园	lv dao gong yuan	2
绿岛华庭	lv dao hua ting	3
绿岛家园	lv dao jia yuan	5
绿川小区	lv chuan xiao qu	2
绿建	lv jian	13
绿春	lv chun	33
绿景二路	lv jing er lu	5
绿景小区	lv jing xiao qu	4
绿景花园	lv jing hua yuan	1
绿杨新村	lv yang xin cun	1
绿杨桥	lv yang qiao	3
绿水种畜场	lv shui zhong chu chang	4
绿洲家园	lv zhou jia yuan	7
绿洲湾公寓	lv zhou wan gong yu	2
绿洲花园	lv zhou hua yuan	8
绿源林场	lv yuan lin chang	1
绿色停车场	lv se ting che chang	5
绿色家园	lv se jia yuan	11
绿色油化之都	lv se you hua zhi du	6
绿苑	lv yuan	29
绿苑小区	lv yuan xiao qu	7
绿苑晨光	lv yuan chen guang	2
绿苑路	lv yuan lu	4
绿茵园小区	lv yin yuan xiao qu	2
绿茵小区	lv yin xiao qu	5
绿茵阁	lv yin ge	20
绿荫西区	lv yin xi qu	3
绿都	lv du	11
绿都花园	lv du hua yuan	4
绿韵康城	lv yun kang cheng	5
缎库胡同	duan ku hu tong	1
缙云山	jin yun shan	38
缝纫机二厂	feng ren ji er chang	3
缝纫机厂	feng ren ji chang	8
缠头	chan tou	17
缤纷路	bin fen lu	4
缫丝厂	sao si chang	12
缸套厂	gang tao chang	3
缸瓦市	gang wa shi	2
缸窑	gang yao	3
缺塘	que tang	3
缺塘社区	que tang she qu	3
罐儿胡同	guan er hu tong	2
罐坝乡	guan ba xiang	4
罐头嘴镇	guan tou zui zhen	7
罐子乡	guan zi xiang	5
罐子窑镇	guan zi yao zhen	3
网山	wang shan	4
网山村	wang shan cun	4
网巾市	wang jin shi	7
网络中心	wang luo zhong xin	33
网络小组	wang luo xiao zu	6
网龙公司	wang long gong si	1
罕艾日克乡	han ai ri ke xiang	4
罕达汽镇	han da qi zhen	3
罕达盖苏木	han da gai su mu	1
罗东村	luo dong cun	2
罗云淑	luo yun shu	5
罗依乡	luo yi xiang	4
罗儿胡同	luo er hu tong	2
罗免彝族苗族乡	luo mian yi zu miao zu xiang	3
罗内村	luo nei cun	2
罗南大道	luo nan da dao	6
罗南镇	luo nan zhen	4
罗古村	luo gu cun	3
罗台	luo tai	3
罗圈胡同	luo quan hu tong	1
罗场乡	luo chang xiang	3
罗坪	luo ping	10
罗城县	luo cheng xian	7
罗城路	luo cheng lu	2
罗埠村	luo bu cun	2
罗塔坪乡	luo ta ping xiang	5
罗塘	luo tang	3
罗奇营	luo qi ying	4
罗妥乡	luo tuo xiang	4
罗子山乡	luo zi shan xiang	4
罗子山瑶族乡	luo zi shan yao zu xiang	7
罗宗	luo zong	29
罗定县	luo ding xian	2
罗定邦中学	luo ding bang zhong xue	11
罗家井	luo jia jing	1
罗家井胡同	luo jia jing hu tong	4
罗家园	luo jia yuan	3
罗家坝	luo jia ba	4
罗家坡	luo jia po	6
罗家坪	luo jia ping	3
罗家大桥	luo jia da qiao	2
罗家大院	luo jia da yuan	6
罗家寨	luo jia zhai	1
罗家庄	luo jia zhuang	5
罗家店	luo jia dian	3
罗家店子	luo jia dian zi	2
罗家村	luo jia cun	7
罗家桥	luo jia qiao	1
罗家沟	luo jia gou	1
罗家湾	luo jia wan	8
罗家碾	luo jia nian	6
罗家胡同	luo jia hu tong	6
罗家路	luo jia lu	7
罗家院	luo jia yuan	5
罗家院子	luo jia yuan zi	4
罗家集乡	luo jia ji xiang	2
罗屋	luo wu	2
罗山川乡	luo shan chuan xiang	2
罗山新村	luo shan xin cun	4
罗山村	luo shan cun	1
罗山溪乡	luo shan xi xiang	3
罗山路	luo shan lu	27
罗岗工业区	luo gang gong ye qu	3
罗岗派出所	luo gang pai chu suo	8
罗岗路	luo gang lu	4
罗岗香雪	luo gang xiang xue	4
罗岩	luo yan	6
罗岩村	luo yan cun	2
罗岭	luo ling	1
罗川乡	luo chuan xiang	3
罗师庄村	luo shi zhuang cun	3
罗庄	luo zhuang	28
罗庄村村委会	luo zhuang cun cun wei hui	2
罗店	luo dian	28
罗戈乡	luo ge xiang	2
罗文村	luo wen cun	4
罗文辉	luo wen hui	2
罗星塔	luo xing ta	8
罗暮乡	luo mu xiang	3
罗村村	luo cun cun	2
罗松	luo song	10
罗水	luo shui	6
罗水乡	luo shui xiang	5
罗汉村	luo han cun	5
罗汉路	luo han lu	4
罗江路	luo jiang lu	3
罗沙公路	luo sha gong lu	7
罗沙市场	luo sha shi chang	5
罗沙路	luo sha lu	4
罗波乡	luo bo xiang	3
罗洞	luo dong	3
罗洞村	luo dong cun	4
罗浮路	luo fu lu	6
罗渡苗族乡	luo du miao zu xiang	3
罗湖中学	luo hu zhong xue	6
罗湖区委	luo hu qu wei	8
罗湖区看守所	luo hu qu kan shou suo	1
罗湖口岸	luo hu kou an	34
罗湖小学	luo hu xiao xue	5
罗湖汽车站	luo hu qi che zhan	1
罗源湾开发区	luo yuan wan kai fa qu	4
罗溪	luo xi	49
罗溪村	luo xi cun	3
罗玛镇	luo ma zhen	4
罗田路	luo tian lu	1
罗秀娟	luo xiu juan	3
罗秀路	luo xiu lu	1
罗芳村	luo fang cun	2
罗芳路	luo fang lu	5
罗苏乡	luo su xiang	4
罗裳	luo chang	5
罗裳社区	luo chang she qu	2
罗贤胡同	luo xian hu tong	2
罗车胡同	luo che hu tong	3
